"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4,R15";"R_0402_1005Metric";2;"NO-FIT";;;
2;"C1,C2";"C_0805_2012Metric";2;"47u";;;
3;"L1";"L_1008_2520Metric";1;"SRN2512-2R2M";;;
4;"R9";"R_0402_1005Metric";1;"1R";;;
5;"J2";"CON_PICO_21-40";1;"~";;;
6;"U3";"SON50P300X200X60-9N";1;"W25Q16JVUXIQ";;;
7;"C8,C6,C4,C9,C11,C5,C10,C15,C7";"C_0201_0603Metric";9;"100n";;;
8;"R5";"R_0402_1005Metric";1;"200k";;;
9;"C13,C14,C18,C12";"C_0402_1005Metric";4;"2u2";;;
10;"R2,R8,R6";"R_0402_1005Metric";3;"100k";;;
11;"SW1";"SW_SPST_PTS810";1;"PTS810 SJK 250 SMTR LFS";;;
12;"Q1";"SOT-523";1;"DMG1012T-7";;;
13;"R13,R12";"R_0201_0603Metric";2;"27R";;;
14;"R11,R14";"R_0402_1005Metric";2;"1k";;;
15;"R10";"R_0402_1005Metric";1;"5k6";;;
16;"R7";"R_0603_1608Metric";1;"200R";;;
17;"J1";"CON_PICO_1-20";1;"~";;;
18;"R3";"R_0402_1005Metric";1;"470R";;;
19;"C3";"C_0201_0603Metric";1;"1n";;;
20;"C17,C16";"C_0201_0603Metric";2;"15p";;;
21;"J3";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
22;"D2";"LED_0603_1608Metric";1;"LTST-C191KGKT";;;
23;"U2";"DFN-10-1EP_2.6x2.6mm_P0.5mm_EP1.3x2.2mm";1;"RT6150B-33GQW";;;
24;"Y1";"Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm";1;"ECS-120-8-33-JGN-TR";;;
25;"J4";"JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal";1;"SM03B-SRSS-TB";;;
26;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
27;"D1";"D_SOD-123F";1;"MBR1020VL_R1_00001";;;
28;"R1";"R_0402_1005Metric";1;"10k";;;
29;"TP7,TP9,TP2,TP4,TP8,TP3,TP5,TP1,TP6";"TestPoint_Pad_1.5x1.5mm";9;"TestPoint";;;
30;"R16,R17";"R_0402_1005Metric";2;"5k1";;;
